vid,yid,start,end,raw-text,tokenized-text,gloss,split,start_time,end_time,total_start_sec,total_end_sec,filename
AKtthktaYps-00:01:08.400-00:01:43.640,AKtthktaYps,00:01:08.400,00:01:43.640,"And with every purchase you make, retailers will get a lot of clues about how you're shopping -- online, mobile or in-store, where you're shopping -- department store, big box or discounter and how much you might spend beyond this weekend.",and with every purchase you make retailers will get a lot of clues about how you 're shopping -- online mobile or in store where you 're shopping -- department store big box or discounter and how much you might spend beyond this weekend,,train,1900-01-01 00:01:08.400,1900-01-01 00:01:43.640,68.4,103.64,video(68.4-103.64).mp4
AKtthktaYps-00:01:43.640-00:01:56.299,AKtthktaYps,00:01:43.640,00:01:56.299,"Retailers know consumers like to shop all through the holiday season, not just on Black Friday, and they like to wait on last-minute deals and promotions on something they want.",retailers know consumers like to shop all through the holiday season not just on black friday and they like to wait on last-minute deals and promotions on something they want,,train,1900-01-01 00:01:43.640,1900-01-01 00:01:56.299,103.64,116.299,video(103.64-116.299).mp4
AKtthktaYps-00:01:56.299-00:02:02.680,AKtthktaYps,00:01:56.299,00:02:02.680,So retailers are hoping people will be shopping all the way up until Christmas Eve.,so retailers are hoping people will be shopping all the way up until christmas eve,,train,1900-01-01 00:01:56.299,1900-01-01 00:02:02.680,116.299,122.68,video(116.299-122.68).mp4
AKtthktaYps-00:02:07.200-00:02:11.120,AKtthktaYps,00:02:07.200,00:02:11.120,Last week we shared the results of an interesting new survey with you.,last week we shared the results of an interesting new survey with you,,train,1900-01-01 00:02:07.200,1900-01-01 00:02:11.120,127.2,131.12,video(127.2-131.12).mp4
AKtthktaYps-00:02:11.120-00:02:30.639,AKtthktaYps,00:02:11.120,00:02:30.639,"A SunTrust study revealed 43 percent of people surveyed say they feel pressured to give gifts during the holiday season, to spend money they don't have and many would rather skip gift giving altogether if their family and friends all agree to it.",a suntrust study revealed 43 percent of people surveyed say they feel pressured to give gifts during the holiday season to spend money they do n't have and many would rather skip gift giving altogether if their family and friends all agree to it,,train,1900-01-01 00:02:11.120,1900-01-01 00:02:30.639,131.12,150.639,video(131.12-150.639).mp4
AKtthktaYps-00:02:30.639-00:02:47.280,AKtthktaYps,00:02:30.639,00:02:47.280,We wanted to hear your opinion on the study and here is what some of you had to say: Lonnie Overstreet thinks this is a great idea.,we wanted to hear your opinion on the study and here is what some of you had to say lonnie overstreet thinks this is a great idea,,train,1900-01-01 00:02:30.639,1900-01-01 00:02:47.280,150.639,167.28,video(150.639-167.28).mp4
AKtthktaYps-00:02:47.280-00:02:51.919,AKtthktaYps,00:02:47.280,00:02:51.919,He says it's sad that the holidays are so commercialized.,he says it 's sad that the holidays are so commercialized,,train,1900-01-01 00:02:47.280,1900-01-01 00:02:51.919,167.28,171.919,video(167.28-171.919).mp4
AKtthktaYps-00:02:54.400-00:03:01.439,AKtthktaYps,00:02:54.400,00:03:01.439,Vicki Dunn says she is fortunate to have three kids who don't demand gifts.,vicki dunn says she is fortunate to have three kids who do n't demand gifts,,train,1900-01-01 00:02:54.400,1900-01-01 00:03:01.439,174.4,181.439,video(174.4-181.439).mp4
AKtthktaYps-00:03:01.439-00:03:06.319,AKtthktaYps,00:03:01.439,00:03:06.319,She says they appreciate any gifts or no gifts.,she says they appreciate any gifts or no gifts,,train,1900-01-01 00:03:01.439,1900-01-01 00:03:06.319,181.439,186.319,video(181.439-186.319).mp4
AKtthktaYps-00:03:08.960-00:03:19.400,AKtthktaYps,00:03:08.960,00:03:19.400,Cenna Oowly says people get stressed when the holidays come because they have bills to pay.,cenna oowly says people get stressed when the holidays come because they have bills to pay,,train,1900-01-01 00:03:08.960,1900-01-01 00:03:19.400,188.96,199.4,video(188.96-199.4).mp4
AKtthktaYps-00:03:21.500-00:03:35.666,AKtthktaYps,00:03:21.500,00:03:35.666,Steven Hymphrey says his family stopped giving gifts years ago but they do buy gifts for the children under 18 years old.,steven hymphrey says his family stopped giving gifts years ago but they do buy gifts for the children under 18 years old,IX Steven_fs Hymphrey_fs IX comment its family stop (2h)giving exchange long-time-ago (2h)but_fs IX still gift+ them age 18 under.,test,1900-01-01 00:03:21.500,1900-01-01 00:03:35.666,201.5,215.666,video(201.5-215.666).mp4
AKtthktaYps-00:03:39.599-00:03:47.819,AKtthktaYps,00:03:39.599,00:03:47.819,Kaytee Kelly says being in the rush of crowds and traffic is not on the top of her list.,kaytee kelly says being in the rush of crowds and traffic is not on the top of her list,,train,1900-01-01 00:03:39.599,1900-01-01 00:03:47.819,219.599,227.819,video(219.599-227.819).mp4
AKtthktaYps-00:03:47.819-00:03:53.479,AKtthktaYps,00:03:47.819,00:03:53.479,She and her family buy one gift for one person so everyone will have a gift.,she and her family buy one gift for one person so everyone will have a gift,,train,1900-01-01 00:03:47.819,1900-01-01 00:03:53.479,227.819,233.479,video(227.819-233.479).mp4
AKtthktaYps-00:03:54.620-00:04:04.879,AKtthktaYps,00:03:54.620,00:04:04.879,But Timothy Kellogg says Black Friday is the best way to capture the sales before Christmas arrives.,but timothy kellogg says black friday is the best way to capture the sales before christmas arrives,,train,1900-01-01 00:03:54.620,1900-01-01 00:04:04.879,234.62,244.879,video(234.62-244.879).mp4
AKtthktaYps-00:04:07.120-00:04:16.879,AKtthktaYps,00:04:07.120,00:04:16.879,However David McMullen says Black Friday and Christmas sales are the worst scams ever.,however david mcmullen says black friday and christmas sales are the worst scams ever,,train,1900-01-01 00:04:07.120,1900-01-01 00:04:16.879,247.12,256.879,video(247.12-256.879).mp4
AKtthktaYps-00:04:17.000-00:04:21.680,AKtthktaYps,00:04:17.000,00:04:21.680,He suggests waiting until after Christmas when everything is much cheaper.,he suggests waiting until after christmas when everything is much cheaper,,train,1900-01-01 00:04:17.000,1900-01-01 00:04:21.680,257.0,261.68,video(257.0-261.68).mp4
AKtthktaYps-00:04:25.360-00:04:35.759,AKtthktaYps,00:04:25.360,00:04:35.759,"If you don't plan to start your holiday shopping on Black Friday, you still have a chance to snap some super deals without even leaving your house.",if you do n't plan to start your holiday shopping on black friday you still have a chance to snap some super deals without even leaving your house,,train,1900-01-01 00:04:25.360,1900-01-01 00:04:35.759,265.36,275.759,video(265.36-275.759).mp4
AKtthktaYps-00:04:35.759-00:04:41.120,AKtthktaYps,00:04:35.759,00:04:41.120,Monday is Cyber Monday.,monday is cyber monday,,train,1900-01-01 00:04:35.759,1900-01-01 00:04:41.120,275.759,281.12,video(275.759-281.12).mp4
AKtthktaYps-00:04:41.120-00:04:51.720,AKtthktaYps,00:04:41.120,00:04:51.720,According to the National Retail Federation 75 million people are expected to take advantage of the internet bargains on Cyber Monday.,according to the national retail federation 75 million people are expected to take advantage of the internet bargains on cyber monday,,train,1900-01-01 00:04:41.120,1900-01-01 00:04:51.720,281.12,291.72,video(281.12-291.72).mp4
AKtthktaYps-00:04:51.759-00:05:02.480,AKtthktaYps,00:04:51.759,00:05:02.480,"In case you are not familiar with the term, that's when retailers offer big savings online to wrap up the shopping weekend.",in case you are not familiar with the term that 's when retailers offer big savings online to wrap up the shopping weekend,,train,1900-01-01 00:04:51.759,1900-01-01 00:05:02.480,291.759,302.48,video(291.759-302.48).mp4
AKtthktaYps-00:05:08.720-00:05:18.060,AKtthktaYps,00:05:08.720,00:05:18.060,Right in the middle of the festive holiday season comes a grim report from the federal government.,right in the middle of the festive holiday season comes a grim report from the federal government,,train,1900-01-01 00:05:08.720,1900-01-01 00:05:18.060,308.72,318.06,video(308.72-318.06).mp4
AKtthktaYps-00:05:18.060-00:05:27.579,AKtthktaYps,00:05:18.060,00:05:27.579,The report was supposed to come out in December but the Trump administration decided to release it today.,the report was supposed to come out in december but the trump administration decided to release it today,,train,1900-01-01 00:05:18.060,1900-01-01 00:05:27.579,318.06,327.579,video(318.06-327.579).mp4
AKtthktaYps-00:05:27.579-00:05:41.480,AKtthktaYps,00:05:27.579,00:05:41.480,The US Global Change Research Program's report says the global average temperature is rising more rapidly than any thing modern civilization has ever experienced.,the us global change research program's report says the global average temperature is rising more rapidly than any thing modern civilization has ever experienced,,train,1900-01-01 00:05:27.579,1900-01-01 00:05:41.480,327.579,341.48,video(327.579-341.48).mp4
AKtthktaYps-00:05:41.480-00:05:50.680,AKtthktaYps,00:05:41.480,00:05:50.680,The result is a potential loss of hundreds of billions of dollars by the end of the century.,the result is a potential loss of hundreds of billions of dollars by the end of the century,,train,1900-01-01 00:05:41.480,1900-01-01 00:05:50.680,341.48,350.68,video(341.48-350.68).mp4
AKtthktaYps-00:05:50.680-00:06:02.240,AKtthktaYps,00:05:50.680,00:06:02.240,"Farmers will face extremely tough times as the quality of their crops will decline due to higher temperatures, drought and flooding.",farmers will face extremely tough times as the quality of their crops will decline due to higher temperatures drought and flooding,,train,1900-01-01 00:05:50.680,1900-01-01 00:06:02.240,350.68,362.24,video(350.68-362.24).mp4
AKtthktaYps-00:06:02.240-00:06:16.639,AKtthktaYps,00:06:02.240,00:06:16.639,"The report says higher temperatures will also kill more people, there will be more insect- borne diseases and wildfire seasons will burn up to six times more forest area every year annually by 2050.",the report says higher temperatures will also kill more people there will be more insect- borne diseases and wildfire seasons will burn up to six times more forest area every year annually by 2050,,train,1900-01-01 00:06:02.240,1900-01-01 00:06:16.639,362.24,376.639,video(362.24-376.639).mp4
AKtthktaYps-00:06:16.639-00:06:19.399,AKtthktaYps,00:06:16.639,00:06:19.399,But there is encouraging news from the report.,but there is encouraging news from the report,,train,1900-01-01 00:06:16.639,1900-01-01 00:06:19.399,376.639,379.399,video(376.639-379.399).mp4
AKtthktaYps-00:06:19.399-00:06:34.959,AKtthktaYps,00:06:19.399,00:06:34.959,"Scientists say if the United States immediately reduces its fossil fuel use and greenhouse gas emissions, it could save thousands of lives and generate billions of dollars in benefits for the country.",scientists say if the united states immediately reduces its fossil fuel use and greenhouse gas emissions it could save thousands of lives and generate billions of dollars in benefits for the country,,train,1900-01-01 00:06:19.399,1900-01-01 00:06:34.959,379.399,394.959,video(379.399-394.959).mp4
AKtthktaYps-00:06:39.199-00:06:50.660,AKtthktaYps,00:06:39.199,00:06:50.660,A new study says by the year 2030 almost half of the people who need insulin won't have access to it.,a new study says by the year 2030 almost half of the people who need insulin wo n't have access to it,,train,1900-01-01 00:06:39.199,1900-01-01 00:06:50.660,399.199,410.66,video(399.199-410.66).mp4
AKtthktaYps-00:06:50.660-00:07:04.839,AKtthktaYps,00:06:50.660,00:07:04.839,"The study says by the year 2030, 511 million adults around the world will have Type II diabetes and 79 million of them will need insulin to manage their condition.",the study says by the year 2030 511 million adults around the world will have type ii diabetes and 79 million of them will need insulin to manage their condition,,train,1900-01-01 00:06:50.660,1900-01-01 00:07:04.839,410.66,424.839,video(410.66-424.839).mp4
AKtthktaYps-00:07:04.839-00:07:13.819,AKtthktaYps,00:07:04.839,00:07:13.819,But the study also says access to insulin will fall well short of demand.,but the study also says access to insulin will fall well short of demand,,train,1900-01-01 00:07:04.839,1900-01-01 00:07:13.819,424.839,433.819,video(424.839-433.819).mp4
AKtthktaYps-00:07:13.819-00:07:28.180,AKtthktaYps,00:07:13.819,00:07:28.180,"In fact, if access to the drug remains the same, researchers predict only half of those who need it will be able to get it.",in fact if access to the drug remains the same researchers predict only half of those who need it will be able to get it,,train,1900-01-01 00:07:13.819,1900-01-01 00:07:28.180,433.819,448.18,video(433.819-448.18).mp4
AKtthktaYps-00:07:28.180-00:07:45.120,AKtthktaYps,00:07:28.180,00:07:45.120,"While governments continue to encourage healthier lifestyles to prevent Type II diabetes, the authors of the study also hope for initiatives to make life-changing insulin available and affordable.",while governments continue to encourage healthier lifestyles to prevent type ii diabetes the authors of the study also hope for initiatives to make life changing insulin available and affordable,,train,1900-01-01 00:07:28.180,1900-01-01 00:07:45.120,448.18,465.12,video(448.18-465.12).mp4
AKtthktaYps-00:07:45.120-00:07:58.860,AKtthktaYps,00:07:45.120,00:07:58.860,"If you want to read the study yourself, it's published in the journal ""Lancet Diabetes and Endocrinology.""",if you want to read the study yourself it 's published in the journal lancet diabetes and endocrinology,,train,1900-01-01 00:07:45.120,1900-01-01 00:07:58.860,465.12,478.86,video(465.12-478.86).mp4
AKtthktaYps-00:08:02.800-00:08:12.240,AKtthktaYps,00:08:02.800,00:08:12.240,A police canine in Massachusetts that was wounded in a shooting back in April has made a full recovery.,a police canine in massachusetts that was wounded in a shooting back in april has made a full recovery,,train,1900-01-01 00:08:02.800,1900-01-01 00:08:12.240,482.8,492.24,video(482.8-492.24).mp4
AKtthktaYps-00:08:12.240-00:08:20.720,AKtthktaYps,00:08:12.240,00:08:20.720,The Yarmouth Police Department made the announcement on its Facebook page Thanksgiving morning.,the yarmouth police department made the announcement on its facebook page thanksgiving morning,,train,1900-01-01 00:08:12.240,1900-01-01 00:08:20.720,492.24,500.72,video(492.24-500.72).mp4
AKtthktaYps-00:08:20.720-00:08:35.200,AKtthktaYps,00:08:20.720,00:08:35.200,Nero is officially retired from police work and living with his partner's family -- the Gannons.,nero is officially retired from police work and living with his partner 's family -- the gannons,,train,1900-01-01 00:08:20.720,1900-01-01 00:08:35.200,500.72,515.2,video(500.72-515.2).mp4
AKtthktaYps-00:08:35.200-00:08:46.720,AKtthktaYps,00:08:35.200,00:08:46.720,Sergeant Sean Gannon and Nero were trying to serve a warrant when they were ambushed and shot.,sergeant sean gannon and nero were trying to serve a warrant when they were ambushed and shot,,train,1900-01-01 00:08:35.200,1900-01-01 00:08:46.720,515.2,526.72,video(515.2-526.72).mp4
AKtthktaYps-00:08:46.960-00:08:52.159,AKtthktaYps,00:08:46.960,00:08:52.159,Gannon died at a local hospital.,gannon died at a local hospital,,train,1900-01-01 00:08:46.960,1900-01-01 00:08:52.159,526.96,532.159,video(526.96-532.159).mp4
AKtthktaYps-00:08:51.400-00:08:57.066,AKtthktaYps,00:08:51.400,00:08:57.066,The gunman is behind bars being held without bail.,the gunman is behind bars being held without bail,Shooter IX finish captured place-in jail none pay bail_fs.,test,1900-01-01 00:08:51.400,1900-01-01 00:08:57.066,531.4,537.066,video(531.4-537.066).mp4
AKtthktaYps-00:09:01.600-00:09:08.240,AKtthktaYps,00:09:01.600,00:09:08.240,Well this is how I spent some of my Thanksgiving yesterday.,well this is how i spent some of my thanksgiving yesterday,,train,1900-01-01 00:09:01.600,1900-01-01 00:09:08.240,541.6,548.24,video(541.6-548.24).mp4
AKtthktaYps-00:09:08.240-00:09:16.399,AKtthktaYps,00:09:08.240,00:09:16.399,My husband and I found some time before dinner to paint our third bedroom.,my husband and i found some time before dinner to paint our third bedroom,,train,1900-01-01 00:09:08.240,1900-01-01 00:09:16.399,548.24,556.399,video(548.24-556.399).mp4
